id,full text
nf105.jpg,Nutetionalinformation�02g(OfwhichSugar)5gProtaln6goo
nf131.jpg,
nf157.jpg,)TRITIONALINFORMATION(ApproximateValues)TransFat
nf37.jpg,NUTRITIONALFACTSPER100ml(APPROXIMATE)Energy53kealProtein029Carbohydrate13.49NoturolFruitSugors6gAddedSuger7.49Fat0gCalcium7mgtren0.25mgVitamin�18mg
nf47.jpg,NutritionFacts4ServingspercontainerServiniFte2Pieces(58g)AmountServingCalories220oatveeTotalFat129AS%SaturatedFattgs%TransFatOgCholesterolOmg0%Sogium330mg40%TotalCarbohydrate219�ex�Dietaryfiber3g�ss~=�t*铑*s*i��TotalSugarsOgFicludesOgAddedSugarsonO*Jron(O.9mq)aCarumamg)2%_@_Potasshim(ama)4
nf54.jpg,Protein6.49Fat-Total2ig+SaturatedFat9.45-MonounsaturatedFat479-PolyunsaturatedFat1.39+TransFat0g-CholesterolOmg
nf65.jpg,Nutritional*InformationPer100gServingSize:90gServingperpack:8Per100gPerservingEnergy406.6kcal365.9kcalFat15913gCarbohydrate89.11�80.19GietaryFiber391g350gProtein7.69689
nf79.jpg,NUTRITIONFACTS
nf80.jpg,*HutritionalInformationper100gproduct(approx..)Transfattyacldsnotmorethan0.29Saturaiedatlyacidsoolmacethen1449Moounsaturatedfattyacids669Potyunsaturatedfattyaclds199Enetgy502keal
nf90.jpg,NutritionFactsServingSize:2Cookies(Approx20g)ServingsPerPack:About7-8DEAmountperServingEnergyValue97.2kcalFotalFat399SaturatedFat2.79MonoUnsaturatedFat0.99PolyUnsaturatedFat0.15�TransfatogotalMinera!Content0.49Calcium100mgCarbohydrates9aTotalSugar4gOfwhichAddedRetinedWhiteSugarosProtein2.49
nf97.jpg,"NUTRITIONFACTS(Approx,per100g)""Calories357KealCaloriesfromFat117KeatNatyValueTotalFat13952%SaturatedFat5.369MonounsaturatedFat4.65gPolyUnsaturatedFat1.98gTransFat0gCholesterol65mgSodium147mgTotalCarbohydrate�7g1%DietaryFibre19Sugars469Protein3g8%VitaminA488IU�VitaminC3mgCalcium19mgtron0.3mg"
nf000.jpg,NUTRITIONAL INFORMATION TEST FOR FULL ACCURACY
