id,full text
nf105.jpg,
nf131.jpg,
nf157.jpg,EnergyProteinTotalCarbohydrateSugarsTotalFatSaturatedFatTransFatNUTRITIONALINFORMATION{ApproximateValues)Per1009469.5kcal110g3hq175g809O19
nf37.jpg,NUTRITIONALFACTSPER100mi!(APPROXIMATE)Energy53keatProtein0.29Carbohydrate13.49NoturalFruitSugars69AddedSugor1.49fat09Cakiom7m9tron0.25mgVitamin¢18mg
nf47.jpg,"NutritionFactsSspercontainer4ServingspsSPlec:AmountCalorie:220‘TotalFat12915%SaturatedFat1gs*%TronsFetOgCholesterolOmgSodium330mgTotelCarbohydrate219DietaryFiber3gTotalSugarsOgIncludesOgAddedSugarsO%Protein8:VitaminD(Omcg}0%©Iron{0,.9mg)450Calcium(38mg)2%Potassium(182mg)4%"
nf54.jpg,NutritionalInformation-Chotestero!CarbotydrateEnergy470kcalProtein6.49Fat-Total21g+SaturatedFat9.49-MonounsaturatedFat47g-PolyunsaturatedFat4.39-TransFat0gOmg8%
nf65.jpg,Nutritional*InformationPer100gServingSize:9gServingperpack:8Per100gPerservingEnergy406.6kcal365.9kcalFat15g139Carbohydrate89.11g*80.19gOietaryFiber39193509Protein7.69689
nf79.jpg,NUTRITIONFACTS’(fkat
nf80.jpg,
nf90.jpg,NutritionFactsServingSize:2Cookies(Approx20g)ServingsPerPact:About7-8FhAmountperServingEnergyValueTotalFatSaturatedFatMonoUnsaturatedFat0.99PolyUnsaturatedFat0.1689Transfato9TotalMineralContentO49Calcium300mgCarbohydrates99TotalSugar49aOtwhichAddedRefinedWhiteSugarogProtein2.49
nf97.jpg,NUTRITIONFACTS(Approx.per100g)*Calories357KealCaloriesfromFat117KealeDailyValueTotalFat13g$2%SaturatedFat5.36MonounsaturatedFat4.659PolyUnsaturatedFat1.989TransFat0gCholesterol65mgSodium147mg‘TotalCarbohydrate5791%DietaryFibre19Sugars469Protein3g5%VilaminA488IUVitaminC3mgCatcium19mgtron0.3mg
